axis,value,value_min,sat_min,hue_slack,close_kernel,min_side,min_area,max_side,max_candidates,pad_ratio,scales,ncc_min,nms_iou,refine_box,refine_margin,pair_bars,pair_height_ratio,pair_gap_min,pair_gap_max,pair_y_tolerance,ap_armor,detections
default,,170,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.006583,47046
value_min,140,140,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.004357,66299
value_min,155,155,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.005488,65980
value_min,170,170,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.006583,47046
value_min,185,185,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.007383,38570
value_min,200,200,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.010915,20247
value_min,215,215,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.010487,14897
sat_min,20,200,20,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.009515,24776
sat_min,30,200,30,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.010343,21914
sat_min,40,200,40,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.010915,20247
sat_min,55,200,55,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.011323,15592
sat_min,70,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013493,13755
ncc_min,0.15,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.15,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013707,15354
ncc_min,0.2,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.2,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013707,15110
ncc_min,0.25,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.25,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013574,14648
ncc_min,0.3,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013493,13755
ncc_min,0.4,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.4,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.012567,10981
ncc_min,0.5,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.5,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.008239,6465
min_area,8,200,70,0,3,3,8,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.01355,14093
min_area,12,200,70,0,3,3,12,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013409,13999
min_area,15,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013493,13755
min_area,20,200,70,0,3,3,20,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013431,12837
min_area,30,200,70,0,3,3,30,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.012166,10004
min_side,2,200,70,0,3,2,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013493,13755
min_side,3,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013493,13755
min_side,4,200,70,0,3,4,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013493,13755
max_side,40,200,70,0,3,3,15,40,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.01561,12974
max_side,60,200,70,0,3,3,15,60,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.013493,13755
max_side,90,200,70,0,3,3,15,90,600,1.2,"(1.0, 1.3)",0.3,0.4,False,0.3,False,2.0,0.6,4.5,1.0,0.01212,13851
