axis,value,iou_gate,max_age,min_hits,process_noise,measurement_noise,mota,idf1,id_switches
default,,0.2,10,2,0.01,0.1,0.85131,0.843303,6
iou_gate,0.05,0.05,10,2,0.01,0.1,0.848263,0.837179,8
iou_gate,0.1,0.1,10,2,0.01,0.1,0.85192,0.843679,6
iou_gate,0.2,0.2,10,2,0.01,0.1,0.85131,0.843303,6
iou_gate,0.3,0.3,10,2,0.01,0.1,0.85131,0.842927,7
iou_gate,0.45,0.45,10,2,0.01,0.1,0.849482,0.840221,8
max_age,3,0.1,3,2,0.01,0.1,0.842169,0.814984,11
max_age,5,0.1,5,2,0.01,0.1,0.848873,0.844878,7
max_age,10,0.1,10,2,0.01,0.1,0.85192,0.843679,6
max_age,20,0.1,20,2,0.01,0.1,0.854357,0.856122,4
max_age,30,0.1,30,2,0.01,0.1,0.855576,0.864286,3
min_hits,1,0.1,30,1,0.01,0.1,0.860451,0.866193,3
min_hits,2,0.1,30,2,0.01,0.1,0.855576,0.864286,3
min_hits,3,0.1,30,3,0.01,0.1,0.849482,0.861799,3
min_hits,5,0.1,30,5,0.01,0.1,0.837904,0.856767,2
process_noise,0.001,0.1,30,1,0.001,0.1,0.86106,0.855204,4
process_noise,0.01,0.1,30,1,0.01,0.1,0.860451,0.866193,3
process_noise,0.1,0.1,30,1,0.1,0.1,0.859232,0.858436,5
process_noise,1.0,0.1,30,1,1.0,0.1,0.856795,0.857789,5
measurement_noise,0.01,0.1,30,1,0.01,0.01,0.859232,0.858436,5
measurement_noise,0.1,0.1,30,1,0.01,0.1,0.860451,0.866193,3
measurement_noise,1.0,0.1,30,1,0.01,1.0,0.86106,0.855204,4
measurement_noise,10.0,0.1,30,1,0.01,10.0,0.845826,0.839043,9
