name,family,imgsz,cores,smt,logical_cpus,mAP_50_95,mAP_50,map_ci_low,map_ci_high,AP_armor,AP_base,AP_car,AP_watcher,lat_mean_ms,lat_ci_low,lat_ci_high,lat_p95_ms,fps_mean,decode_mean_ms,cpu_pct_mean,cpu_pct_of_cap,rss_peak_mib,frames,cpu_model
yolo_960,yolo,960,1,0,1,0.667869,0.970698,0.661936,0.674907,0.440919,0.866721,0.778234,0.585604,394.399,393.673,395.124,407.874,2.536,6.072,98.5,98.5,843.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_960,yolo,960,1,0,1,0.639937,0.972175,0.634688,0.647046,0.453737,0.846758,0.778502,0.480752,158.184,157.362,159.112,169.732,6.322,6.28,96.9,96.9,769.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_640,yolo,640,1,0,1,0.626319,0.962895,0.621888,0.633595,0.388195,0.86636,0.772192,0.478529,200.328,199.529,201.205,214.029,4.992,6.137,97.8,97.8,785.5,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_640,yolo,640,1,0,1,0.607257,0.91966,0.601766,0.613353,0.294321,0.854596,0.741077,0.539033,84.174,83.885,84.487,88.719,11.88,7.145,96.0,96.0,725.4,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
yolo_320,yolo,320,1,0,1,0.516929,0.773467,0.511804,0.523745,0.044847,0.843947,0.711499,0.467422,62.657,62.557,62.757,64.573,15.96,6.048,97.0,97.0,749.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_960_anchor,ssd,960,1,0,1,0.513671,0.820104,0.509073,0.520843,0.09302,0.785195,0.618095,0.558373,132.988,132.672,133.335,139.072,7.519,7.717,97.0,97.0,757.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_960_anchor,ssd,960,1,0,1,0.506827,0.843571,0.501098,0.51424,0.116659,0.75571,0.647765,0.507176,346.045,342.632,349.569,386.593,2.89,8.031,96.8,96.8,1016.1,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
fast_320,yolo,320,1,0,1,0.496536,0.731608,0.490024,0.504023,0.006784,0.819634,0.643766,0.515959,33.786,33.555,34.06,37.009,29.598,6.664,94.4,94.4,703.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640_anchor,ssd,640,1,0,1,0.458019,0.772706,0.450305,0.465253,0.05922,0.760272,0.561141,0.451444,61.849,61.67,62.046,65.322,16.168,7.283,97.7,97.7,701.2,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640_anchor,ssd,640,1,0,1,0.450966,0.799834,0.443237,0.46115,0.076562,0.677477,0.577645,0.47218,130.461,129.808,131.119,143.108,7.665,7.838,97.9,97.9,819.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320_anchor,ssd,320,1,0,1,0.287249,0.641493,0.278596,0.299386,0.009905,0.567017,0.343606,0.228469,47.945,46.657,49.399,87.31,20.857,9.017,80.7,80.7,699.7,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_320_anchor,ssd,320,1,0,1,0.281615,0.602423,0.272577,0.293684,0.006791,0.606269,0.298143,0.215256,33.639,33.074,34.287,45.394,29.727,16.727,79.3,79.3,647.9,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_640,ssd,640,1,0,1,0.269006,0.621415,0.258591,0.282045,0.003827,0.40777,0.346853,0.317574,125.076,124.806,125.348,128.657,7.995,7.232,98.3,98.3,815.0,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_small_640,ssd,640,1,0,1,0.230494,0.557262,0.22005,0.243165,0.002375,0.422735,0.311231,0.185632,61.433,61.264,61.617,65.044,16.278,7.241,98.2,98.2,705.6,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
ssd_large_320,ssd,320,1,0,1,0.180324,0.501951,0.171414,0.192361,0.003417,0.390002,0.189667,0.138211,40.455,40.404,40.508,41.549,24.719,7.57,97.9,97.9,705.8,397,"AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD"
