name,images,predictions_sha1,mAP_50_95,mAP_50,mAP_75,AR_100,best_f1_macro,precision_at_best_f1,recall_at_best_f1,mean_tp_iou,ci_low,ci_high,bootstrap_n,AP_armor,AP_base,AP_car,AP_watcher
classical_balanced,397,b5bdf256f939,0.001646,0.005807,0.000454,0.025762,0.027804,0.019256,0.05,0.650809,0.001525,0.00188,1000,0.006583,0.0,0.0,0.0
classical_loose,397,129a61c55b14,0.001027,0.003329,0.000322,0.024363,0.020595,0.01359,0.0425,0.667338,0.00093,0.001158,1000,0.004108,0.0,0.0,0.0
classical_paired,397,8fdf933aeaa1,0.000562,0.004139,3e-06,0.009642,0.019853,0.017764,0.0225,0.587189,0.000418,0.000677,1000,0.002248,0.0,0.0,0.0
classical_strict,397,6ba04b0e0530,0.002827,0.00982,0.000928,0.021949,0.045033,0.036043,0.06,0.652982,0.002325,0.003661,1000,0.011309,0.0,0.0,0.0
classical_tight,397,2dd165677cdf,0.002989,0.011014,0.000937,0.022339,0.046304,0.036775,0.0625,0.644634,0.002511,0.003848,1000,0.011956,0.0,0.0,0.0
fast_320,397,c1e22f6047ed,0.496536,0.731608,0.548931,0.535997,0.738093,0.757847,0.7225,0.816597,0.490024,0.504023,1000,0.006784,0.819634,0.643766,0.515959
fast_640,397,0c63b76d1c37,0.607257,0.91966,0.642464,0.66427,0.921016,0.942012,0.9025,0.760638,0.601766,0.613353,1000,0.294321,0.854596,0.741077,0.539033
fast_960,397,d342efd63427,0.639937,0.972175,0.640157,0.697844,0.963523,0.972268,0.955,0.787559,0.634688,0.647046,1000,0.453737,0.846758,0.778502,0.480752
ssd_large_320,397,4f3411f2fcf8,0.169546,0.472176,0.086839,0.272325,0.495683,0.561785,0.4475,0.665602,0.160845,0.180785,1000,0.000821,0.38612,0.187063,0.104179
ssd_large_320_anchor,397,a45a0ac98f14,0.287249,0.641493,0.19666,0.381352,0.661241,0.664333,0.66,0.681843,0.278596,0.299386,1000,0.009905,0.567017,0.343606,0.228469
ssd_large_640,397,3b9e1c06d772,0.211977,0.573436,0.088473,0.304781,0.585008,0.601621,0.5725,0.680623,0.202185,0.224097,1000,0.001869,0.308236,0.328849,0.208956
ssd_large_640_anchor,397,5d37a439bec7,0.450966,0.799834,0.469263,0.536004,0.811621,0.821212,0.8025,0.706603,0.443237,0.46115,1000,0.076562,0.677477,0.577645,0.47218
ssd_large_960,397,7c365c35cc32,0.104559,0.280884,0.06306,0.183481,0.389826,0.473656,0.3525,0.646214,0.095672,0.117257,1000,0.002612,0.226514,0.140786,0.048325
ssd_large_960_anchor,397,96bf013788c9,0.506827,0.843571,0.541422,0.594199,0.849888,0.846347,0.855,0.712274,0.501098,0.51424,1000,0.116659,0.75571,0.647765,0.507176
ssd_small_320,397,f077a2417ed5,0.135304,0.444656,0.052585,0.241346,0.494098,0.521867,0.47,0.655132,0.12631,0.147827,1000,0.00108,0.278623,0.144663,0.116851
ssd_small_320_anchor,397,74ca23c8857a,0.281615,0.602423,0.233562,0.368272,0.625369,0.62729,0.6275,0.675046,0.272577,0.293684,1000,0.006791,0.606269,0.298143,0.215256
ssd_small_640,397,d97ff145f80f,0.208835,0.504707,0.132248,0.306884,0.545807,0.60187,0.5175,0.678243,0.198586,0.222136,1000,0.002244,0.315232,0.317251,0.200613
ssd_small_640_anchor,397,6ef37a1894fd,0.458019,0.772706,0.473301,0.534279,0.776512,0.778927,0.775,0.707276,0.450305,0.465253,1000,0.05922,0.760272,0.561141,0.451444
ssd_small_960,397,26aeff8fbff2,0.0626,0.163038,0.036826,0.108293,0.261215,0.316845,0.23,0.637169,0.055413,0.072494,1000,0.000915,0.169016,0.080471,0.0
ssd_small_960_anchor,397,c24cfa7d8b3f,0.513671,0.820104,0.59133,0.591901,0.83146,0.835777,0.8275,0.706661,0.509073,0.520843,1000,0.09302,0.785195,0.618095,0.558373
ssd_small_960_groupnorm,397,94c36b081f46,0.12764,0.26833,0.096231,0.152376,0.348648,0.622111,0.28,0.681811,0.118894,0.139053,1000,0.000297,0.376013,0.12788,0.00637
yolo_320,397,c78e2c87cc8d,0.516929,0.773467,0.529858,0.559371,0.802568,0.875413,0.775,0.781062,0.511804,0.523745,1000,0.044847,0.843947,0.711499,0.467422
yolo_640,397,0a78a75a5246,0.626319,0.962895,0.61081,0.680335,0.960753,0.969261,0.9525,0.771728,0.621888,0.633595,1000,0.388195,0.86636,0.772192,0.478529
yolo_960,397,c8206f07bc79,0.667869,0.970698,0.721374,0.724099,0.96407,0.973342,0.955,0.783682,0.661936,0.674907,1000,0.440919,0.866721,0.778234,0.585604
frcnn_resnet50_640,397,f7090992aff5,0.519831,0.742069,0.593723,0.556304,0.749717,0.958992,0.7375,0.851691,0.513806,0.526746,1000,0.010795,0.79921,0.737432,0.531887
