name,images,mAP_50_95,mAP_50,mAP_75,AR_100,best_f1_macro,ci_low,ci_high,bootstrap_n,AP_armor,AP_base,AP_car,AP_watcher
fast_320,397,0.496536,0.731608,0.548931,0.535997,0.738093,0.490024,0.504023,1000,0.006784,0.819634,0.643766,0.515959
yolo_320,397,0.516929,0.773467,0.529858,0.559371,0.802568,0.511804,0.523745,1000,0.044847,0.843947,0.711499,0.467422
fast_640,397,0.607257,0.91966,0.642464,0.66427,0.921016,0.601766,0.613353,1000,0.294321,0.854596,0.741077,0.539033
yolo_640,397,0.626319,0.962895,0.61081,0.680335,0.960753,0.621888,0.633595,1000,0.388195,0.86636,0.772192,0.478529
fast_960,397,0.639937,0.972175,0.640157,0.697844,0.963523,0.634688,0.647046,1000,0.453737,0.846758,0.778502,0.480752
yolo_960,397,0.667869,0.970698,0.721374,0.724099,0.96407,0.661936,0.674907,1000,0.440919,0.866721,0.778234,0.585604
ssd_small_320,397,0.135304,0.444656,0.052585,0.241346,0.494098,0.12631,0.147827,1000,0.00108,0.278623,0.144663,0.116851
ssd_large_320,397,0.169546,0.472176,0.086839,0.272325,0.495683,0.160845,0.180785,1000,0.000821,0.38612,0.187063,0.104179
ssd_small_640,397,0.208835,0.504707,0.132248,0.306884,0.545807,0.198586,0.222136,1000,0.002244,0.315232,0.317251,0.200613
ssd_small_960,397,0.0626,0.163038,0.036826,0.108293,0.261215,0.055413,0.072494,1000,0.000915,0.169016,0.080471,0.0
ssd_large_640,397,0.211977,0.573436,0.088473,0.304781,0.585008,0.202185,0.224097,1000,0.001869,0.308236,0.328849,0.208956
