name,sequence,results_sha1,mota,mota_ci_low,mota_ci_high,motp,idf1,id_switches,misses,false_positives,gt_objects,mostly_tracked,mostly_lost,iou_thresh,max_frame,step,bootstrap_n
classical_naive_step1,arc03,b8369dd2bc0b,0.85131,0.836607,0.866374,0.059739,0.843303,6,222,16,1641,9,0,0.5,0,1,200
classical_naive_step2,arc03,8c93c462ccdf,0.837209,0.809509,0.86102,0.070406,0.836721,6,118,9,817,7,0,0.5,0,2,200
classical_rescaled_step2,arc03,7e166474e051,0.850673,0.830923,0.869352,0.071578,0.839714,7,104,11,817,8,0,0.5,0,2,200
classical_naive_step3,arc03,b1f3f6dac9c9,0.815356,0.778333,0.850467,0.075787,0.833992,7,88,6,547,6,1,0.5,0,3,200
classical_rescaled_step3,arc03,37c5e6590986,0.835466,0.807111,0.868694,0.076666,0.832685,10,73,7,547,8,0,0.5,0,3,200
classical_naive_step5,arc03,5829c93177ef,0.772036,0.724989,0.821688,0.089814,0.76,7,63,5,329,6,1,0.5,0,5,200
classical_rescaled_step5,arc03,22d24922ef27,0.802432,0.763147,0.842303,0.087858,0.770227,11,47,7,329,7,0,0.5,0,5,200
sort_naive_step1,arc03,b7fbbb7362e7,0.85131,0.837585,0.867644,0.064613,0.838752,8,221,15,1641,9,0,0.5,0,1,200
sort_naive_step2,arc03,8099498b105a,0.842105,0.815836,0.866588,0.077898,0.841967,6,116,7,817,7,0,0.5,0,2,200
sort_rescaled_step2,arc03,1c53407631dc,0.855569,0.836428,0.875,0.07892,0.844906,7,102,9,817,8,0,0.5,0,2,200
sort_naive_step3,arc03,e34531c15ea4,0.817185,0.785184,0.848498,0.08389,0.826904,7,88,5,547,6,0,0.5,0,3,200
sort_rescaled_step3,arc03,d3c80f677701,0.839122,0.81698,0.866162,0.084115,0.830739,10,72,6,547,7,0,0.5,0,3,200
sort_naive_step5,arc03,232522490a33,0.775076,0.728468,0.820736,0.096351,0.803987,6,62,6,329,6,1,0.5,0,5,200
sort_rescaled_step5,arc03,3d3073a05ee1,0.81459,0.781908,0.849569,0.093983,0.822006,7,47,7,329,6,0,0.5,0,5,200
