name,stage,status,seconds,detail
ssd_small_320,train,ok,966.1,E:\Capstone\runs\ssd\ssd_small_320\best.pt
ssd_small_320,predict,ok,14.4,E:\Capstone\results\predictions\ssd_small_320.json
ssd_small_320,evaluate,ok,54.0,
ssd_large_320,train,ok,1740.0,E:\Capstone\runs\ssd\ssd_large_320\best.pt
ssd_large_320,predict,ok,15.8,E:\Capstone\results\predictions\ssd_large_320.json
ssd_large_320,evaluate,ok,56.8,
ssd_small_640,train,ok,3226.5,E:\Capstone\runs\ssd\ssd_small_640\best.pt
ssd_small_640,predict,ok,18.4,E:\Capstone\results\predictions\ssd_small_640.json
ssd_small_640,evaluate,ok,45.7,
fast_320,train,ok,1462.9,E:\Capstone\runs\detect\fast_320\weights\best.pt
fast_320,predict,ok,21.5,E:\Capstone\results\predictions\fast_320.json
fast_320,evaluate,ok,17.6,
yolo_320,train,ok,3258.8,E:\Capstone\runs\detect\yolo_320\weights\best.pt
yolo_320,predict,ok,23.6,E:\Capstone\results\predictions\yolo_320.json
yolo_320,evaluate,ok,18.0,
ssd_small_960,train,ok,7983.9,E:\Capstone\runs\ssd\ssd_small_960\best.pt
ssd_small_960,predict,ok,21.6,E:\Capstone\results\predictions\ssd_small_960.json
ssd_small_960,evaluate,ok,29.8,
ssd_large_640,train,ok,4955.8,E:\Capstone\runs\ssd\ssd_large_640\best.pt
ssd_large_640,predict,ok,22.2,E:\Capstone\results\predictions\ssd_large_640.json
ssd_large_640,evaluate,ok,48.6,
fast_640,train,ok,3494.6,E:\Capstone\runs\detect\fast_640\weights\best.pt
fast_640,predict,ok,34.5,E:\Capstone\results\predictions\fast_640.json
fast_640,evaluate,ok,21.8,
yolo_640,train,ok,6367.5,E:\Capstone\runs\detect\yolo_640\weights\best.pt
yolo_640,predict,ok,27.4,E:\Capstone\results\predictions\yolo_640.json
yolo_640,evaluate,ok,15.7,
fast_960,train,ok,9303.2,E:\Capstone\runs\detect\fast_960\weights\best.pt
fast_960,predict,ok,25.2,E:\Capstone\results\predictions\fast_960.json
fast_960,evaluate,ok,19.1,
ssd_large_960,train,ok,12059.8,E:\Capstone\runs\ssd\ssd_large_960\best.pt
ssd_large_960,predict,ok,27.6,E:\Capstone\results\predictions\ssd_large_960.json
ssd_large_960,evaluate,ok,30.1,
yolo_960,train,ok,9399.1,E:\Capstone\runs\detect\yolo_960\weights\best.pt
yolo_960,predict,ok,27.2,E:\Capstone\results\predictions\yolo_960.json
yolo_960,evaluate,ok,21.1,
ssd_small_320,train,ok,1707.5,E:\Capstone\runs\ssd\ssd_small_320\best.pt
ssd_small_320,predict,ok,14.6,E:\Capstone\results\predictions\ssd_small_320.json
ssd_small_320,evaluate,ok,56.3,
ssd_large_320,train,ok,1765.8,E:\Capstone\runs\ssd\ssd_large_320\best.pt
ssd_large_320,predict,ok,15.8,E:\Capstone\results\predictions\ssd_large_320.json
ssd_large_320,evaluate,ok,59.5,
ssd_small_640,train,ok,3394.3,E:\Capstone\runs\ssd\ssd_small_640\best.pt
ssd_small_640,predict,ok,17.5,E:\Capstone\results\predictions\ssd_small_640.json
ssd_small_640,evaluate,ok,38.3,
ssd_small_960,train,ok,5623.6,E:\Capstone\runs\ssd\ssd_small_960\best.pt
ssd_small_960,predict,ok,22.0,E:\Capstone\results\predictions\ssd_small_960.json
ssd_small_960,evaluate,ok,30.4,
ssd_large_640,train,ok,6296.7,E:\Capstone\runs\ssd\ssd_large_640\best.pt
ssd_large_640,predict,ok,22.8,E:\Capstone\results\predictions\ssd_large_640.json
ssd_large_640,evaluate,ok,44.0,
