name,sequence,results_sha1,mota,mota_ci_low,mota_ci_high,motp,idf1,id_switches,misses,false_positives,gt_objects,mostly_tracked,mostly_lost,iou_thresh,max_frame,bootstrap_n
classical_det150,arc01,ab6888bd6101,0.569573,0.541993,0.597393,0.067298,0.651081,7,451,6,1078,4,1,0.5,150,500
sort_det150,arc01,7f4d81ccf18f,0.569573,0.541993,0.597393,0.073681,0.651081,7,451,6,1078,4,1,0.5,150,500
vit_det150,arc01,bfc23819a68a,0.569573,0.541993,0.597393,0.060479,0.651081,7,451,6,1078,4,1,0.5,150,500
goturn_det150,arc01,cf2b8a57c48c,0.556586,0.529066,0.585779,0.060415,0.492958,14,458,6,1078,4,1,0.5,150,500
classical_det150,arc02,a52c068bfe5f,0.847976,0.832014,0.864263,0.061295,0.906667,1,152,1,1013,6,0,0.5,150,500
sort_det150,arc02,0b101883eb63,0.846002,0.829304,0.862321,0.059678,0.905016,2,153,1,1013,6,0,0.5,150,500
vit_det150,arc02,3250bd10018e,0.84304,0.826991,0.860485,0.054544,0.744931,5,153,1,1013,6,0,0.5,150,500
goturn_det150,arc02,bb284b56719b,0.838105,0.820946,0.856943,0.05466,0.653127,7,156,1,1013,6,0,0.5,150,500
classical_det150,arc05,b89bf3c37e1a,0.672811,0.648589,0.696697,0.10133,0.782245,4,303,48,1085,10,3,0.5,150,500
sort_det150,arc05,80cf39e4bd28,0.685714,0.665252,0.707489,0.102928,0.78179,6,297,38,1085,9,3,0.5,150,500
vit_det150,arc05,b46143016537,0.660829,0.637498,0.684972,0.086431,0.677116,12,306,50,1085,9,3,0.5,150,500
goturn_det150,arc05,27dd8835544b,0.658065,0.635363,0.682406,0.086311,0.706499,15,309,47,1085,9,3,0.5,150,500
classical_default_test,arc04,ed86bf2e2fbc,0.481437,0.453696,0.50865,0.053881,0.560985,13,838,15,1670,2,1,0.5,0,500
classical_tuned_test,arc04,e23ea5315b0a,0.491617,0.462544,0.518503,0.056043,0.566706,14,817,18,1670,2,0,0.5,0,500
classical_det,arc01,aadddf10c828,0.687822,0.660732,0.712426,0.059133,0.749502,8,513,25,1749,7,0,0.5,0,500
sort_det,arc01,50e4e1d5dede,0.687822,0.660732,0.712426,0.062464,0.749502,8,513,25,1749,7,0,0.5,0,500
classical_det,arc02,23a50a7a5c9c,0.817907,0.801367,0.831736,0.061209,0.879714,5,350,7,1988,7,1,0.5,0,500
sort_det,arc02,3059a8e68528,0.818913,0.804299,0.832145,0.059473,0.879956,6,349,5,1988,7,1,0.5,0,500
classical_det,arc03,b8369dd2bc0b,0.85131,0.835887,0.867369,0.059739,0.843303,6,222,16,1641,9,0,0.5,0,500
sort_det,arc03,b7fbbb7362e7,0.85131,0.837173,0.867531,0.064613,0.838752,8,221,15,1641,9,0,0.5,0,500
classical_det,arc04,ed86bf2e2fbc,0.481437,0.453696,0.50865,0.053881,0.560985,13,838,15,1670,2,1,0.5,0,500
sort_det,arc04,2f2121a1ee5e,0.484431,0.459189,0.510604,0.057551,0.569274,16,833,12,1670,2,1,0.5,0,500
classical_det,arc05,7f0579b8382f,0.699513,0.681391,0.715719,0.091395,0.781404,7,497,51,1847,10,3,0.5,0,500
sort_det,arc05,16a0bda39911,0.710341,0.695344,0.725396,0.09232,0.781751,9,488,38,1847,9,3,0.5,0,500
classical_det,arc06,1a0f8bf9ea67,0.446861,0.422749,0.4764,0.089466,0.51956,24,1493,60,2851,5,6,0.5,0,500
sort_det,arc06,62670b8647a7,0.453525,0.429442,0.481919,0.09056,0.538425,24,1484,50,2851,5,6,0.5,0,500
classical_det,arc07,5c783fb2a9d1,0.69087,0.664612,0.717282,0.093019,0.645927,9,380,41,1391,5,0,0.5,0,500
sort_det,arc07,ea2065cf3834,0.705248,0.679896,0.72863,0.097447,0.651658,9,370,31,1391,6,0,0.5,0,500
